;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;x;;;;
#;;;;;;;;;;;;;;Decisions;;;;
dua_calais_desc;Calais and the surrounding plains of Picardie were important places during the Hundred Years War. Sadly this territory was lost with Calais being surrendered to the Burgundian king during the Anglo-French wars of Religion. But with our troops having recaptured the closest land to England we could make the International Concert recognize our claim!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dua_franche_comte_title;Form the Franche-Comte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dua_franche_comte_desc;The French claim on the Free County of Burgundy is solid. Though we had to project our power through force, we can claim the ethernal right to these lands.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
core_provence_title;Conquest of Provence;;;;;;;;;;;;x,,,,
core_provence_desc;The little Provencal state is no more. Our armies have taken control of what was the biggest thorn on our borders. With the Valois gone, the Anglois state prevails!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dual_path_title;Kings of France AND England;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dual_path_desc;§R\nNote: mutually exclusive with Lean Towards the English or French. §G\nAllows coring the French regions and Scotland alongside accepting French, English, Irish and Scottish in 1865. You will also be able to assimilate French, English and Irish pops after clicking this decision.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
english_path_title;Lean towards the English;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
english_path_desc;§R\nWill stop you from assimilating French pops until 1865. §G\nAllows you to core and accept Scotland.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
french_path_title;Lean towards the French;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
french_path_desc;§R\nWill stop you from assimilating English and Irish pops until 1865. §G\nAllows you to core Provence, Pas de Calais, Bourgogne and Franche-Comt.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
anglois_dilemma_finished_title;Resilience of the Anglois idea;;;;;;;;;;;;x,,,,
anglois_dilemma_finished_desc;For 25 years the government has encouraged the unity of the peoples on each side of the Channel. It seems that slowly the idea is winning the hearts of the crowds.;;;;;;;;;;;;x,,,,
dm_assim_nerf_removal_title;Assimilation nerf removal;;;;;;;;;;;;x,,,,
dm_assim_nerf_removal_desc;§G\nAllows you assimilate French, English and Irish pops regardless of which path you chose.;;;;;;;;;;;;x,,,,
brg_accept_rheinish_title;Integration of the Rheinland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
brg_accept_rheinish_desc;The Rhine River has been the official border of the Kingdom of Burgundy since the conquests of Charles the Bold of 1483, even if it would take time to integrate the various duchies and cities in the Burgundian state. While they never enjoyed the same relation the Dutch had with the Valois the Rhineland was not a rebellious area, that is until the German revolution. Ever since the contract between Burgundy and the Rhenish seemed to have been broken. Eventually with efficient policies of integration this trust can be rebuild as to secure the loyalty of the Rhineland to Anvers.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
contest_crown_france_title;Contest the Crown of France;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
contest_crown_france_desc;Long have the Platagenets neglect the lands of France. With the French duchies now under our control, we can claim the crown as a way to get letimaticy in our new acquired territories.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
form_iberia_title;Unite Iberia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
form_iberia_desc;Uniting Iberia was one of the ambitions of medieval monarchs of the Iberian peninsula. Sancho III of Navarre and Alfonso VII of Leon and Castile both took the title Imperator Totius Hispaniae, meaning 'Emperor of all Hispania' centuries before. But with the rise of the Dual Monarchy in the East it was too dangerous for Castille to extend its territories and instead of the planned union with Aragon, the Kingdom of Spain was created by merging the crowns of Castille and Portugal. With our control of the former Aragonese lands of Catalunya we can proclaim the Iberian Union. §R\nMutually exclusive with the Hispanic Commonwealth.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
form_hipanic_empire_title;The Hispanic Commonwealth;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
form_hipanic_empire_desc;Liberalisation has changed our society and the old relationship between peninsulares and criollos, based on inequality and submission to the metropolis, can no longer stand. It is time to move on to a new era of brotherhood between the Hispanic peoples and create a Commonwealth bringing together in harmony the metropolis and its erstwhile colonies. Spain and Colombia, bonded by blood and fire, from the conquest of the Indies to the bloody revolutionary warfare, enter a new age of reconciliation and equality. §R\nMutually exclusive with the Hispanic Commonwealth.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
reclaim_croatia_title;Reclaim Croatia;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
reclaim_croatia_desc;The Kingdom of Croatia entered a personal union with Hungary in the chaotic years that ensued the extinguishing of the Trpimirovic dynasty, a situation that persisted until the Ottoman conquest of Hungary. The Croatian throne has remained vacant ever since, with the Croatian revolutionaries reneging on their medieval heritage to instead found the Kingdom of Illyria - making patent their pan-Slavic ambitions beyond the old borders of Croatia. The recovery of the Holy Crown of St Stephen has legitimised the new Hungarian Kingdom as the successor to the ï¿½rpï¿½d Dynasty, and as such, to its possessions both in Hungary and in Croatia. The conquest of Croatia will reestablish the position of the Magyar as one of the prominent peoples in Europe as well as give us much-needed access to the Mediterranean Sea along the Dalmatian coast.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
croatian_compromise_title;The Croatian Compromise;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
croatian_compromise_desc;The Croatians had enjoyed a great deal of autonomy under the personal union with Hungary in the Middle Ages. Yet Croats and Magyars became separated in the aftermath of the Ottoman conquest, divided in Bohemian, Venetian and Turkish spheres of influence, and after liberation the upsurge in Magyar ethno-nationalism poisoned the relationship between the erstwhile brother peoples. The $YEAR$ Croatian-Hungarian Kiegyezï¿½s - Compromise - will rectify the current situation and acknowledge the long-standing tradition of self-government of Croatia within Hungary while recognising the status of Croatians as full citizens of our state and the Croatian language as co-official with Magyar.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
accept_romanians_title;Integrate the Vlachs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
accept_romanians_desc;The Vlachs were left out during the drafting of the Transylvanian constitution and, indeed, they are not recognised as one of the three nations that constitute the federal Principality - the Magyars, the Szekely and the Saxons. Nevertheless the Vlachs are the largest minority in Transylvania, far outnumbering the Saxons and being close in numbers to the Magyars, making the current situation of political disenfranchisement and cultural repression untenable in the long run. If Transylvania is to survive as an independent polity, we must amend the constitution to recognise the Vlach nation and their status as equals to any other citizen of the Principality.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
accept_serbs_title;Dominate the South Slavs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
accept_serbs_desc;The reconquest of the old borders of the medieval Kingdom of Croatia brought millions of slavic subjects under our rule - yet the conquest was incomplete, for the Serb people are now split by the Hungarian frontier. Irredentism runs high among the Serbs, who long not only for re-unification with their brothers in Bosnia and the Krajina but also dream of a Yugoslav state encompassing Croats and Bosniaks as well. In recent years increasingly effective agitation by Serb agents in Bosnia and Dalmatia has thwarted Hungarian attempts to pacify the countryside and establish proper administration of the area, and is now starting to spread northwards towards Slavonia and the Temeskï¿½z, thus endangering the heart of Hungary itself. The only solution is to unite the South Slavs on our own terms - annexing the remaning Serbian territory outside our realm and re-organising it as dependent territories of the Magyar state.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
centralize_plc_title;The new Act of Union;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
centralize_plc_desc;The Commonwealth has experienced a severe decay in the last century. Problems with the Sejm, foreign intervention and weakness of the government led to a near break-up of the Union. But now we have reasserted our status in the European Concert and rid ourselves from foreign intervention, we can centralize the state in Warsaw and retake our place in Eastern Europe!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
integrate_ruthenians_title;Treaty of Hadiach;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
integrate_ruthenians_desc;The Ruthenians constitute the most important ethnic group in the Commonwealth behind the Polish. Over the centuries, we have tried to integrate in our fabric, granting some of their nobles rights in the Sejm, encouraging the Uniate Church in spreading catholiscism. Now a new proposition has emerged to transform our state into a Polish-Lithuanian-Ruthenian Commonwealth but it needs the approval of the Ruthenian leaders;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
baltic_protectors_title;Baltic Protectors;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
baltic_protectors_desc;The Livonians and Estonian people never truly enjoyed independence, being contested between the Commonwealth and Scandinavia. But in contrary to the Scandinavians, we have a tradition of accepting the local cultures and integrate in our state! Long live the Polish rule of Livonia!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
egypt_is_free_title;Remove Karaboga;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
egypt_is_free_desc;Weak and feeble karaboga trembles at out might. Dirty roaches need to be driven back to the steppes.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
macedonia_is_free_title;Remove Karaboga;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
macedonia_is_free_desc;Weak and feeble karaboga trembles at out might. Dirty roaches need to be driven back to the steppes.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
albania_is_free_title;Remove Karaboga;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
albania_is_free_desc;Weak and feeble karaboga trembles at out might. Dirty roaches need to be driven back to the steppes.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
merge_the_crowns_ari_title;Proclaim the Kingdom of Aragon-Italy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
merge_the_crowns_ari_desc;For centuries now, the crown of Aragon has been a dominant power on the Italian peninsula. We are now strong enough to strengthen our rule over Italy and proclaim the Dual Kingdom of Aragon and Italy! But let us beware, the other European Great Powers might not take the news kindly...;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
latin_empire_title;The Provencal - Catalan Brotherhood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
latin_empire_desc;The Provencal are the closest cultural kin to the Catalans, with both cultures sharing a close origin and both languages being mutually intelligible. Over the centuries our peoples have remained mostly separate, with most of the ProvenÃ§al speaking territory falling to the Anglois Monarchy after the 1532 Languedoc War. However, with our increased power after the end of North Italian autonomy and North Italian intergration, we are finally in a position of sufficient strength to end the ProvenÃ§al oppression once and for all and embrace them into our realm.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
integrate_papal_title;Integrate the Papal States;;;;;;;;;;;;x;;;,,,,
integrate_papal_desc;We now have the ability to dissolve the illusion of a free Papal State government, and directly control its territory.;;;;;;;;;;;;x;;;,,,,
integrate_ferrara_title;Integrate Ferrara;;;;;;;;;;;;x;;;,,,,
integrate_ferrara_desc;We now have the ability to dissolve the illusion of a free Ferraran government, and directly control its territory.;;;;;;;;;;;;x;;;,,,,
greek_accepted_title;Greek Integration;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
greek_accepted_desc;Since the repression of the independence movements, our Republic has seen many changes. Our government is now more democratic and the Greek have accepted our rule. It is now time to fully integrate them into our republic!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
accept_pomeranian_title;The Baltic Germans;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
accept_pomeranian_desc;We have effectively controlled the region of Pomerania since the Peace of Westphalia. With the rise of nationalism it is critical that we make sure our subjects feel as a part of our great nation.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
prussian_coastline_title;Dominium Maris Baltici;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
prussian_coastline_desc;We have effectively controlled this region since the Peace of Westphalia. With the rise of nationalism it is critical that we make sure our subjects feel as a part of our great nation.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nordtyskland_title;Nordtyskland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nordtyskland_desc;Despite all their attempts, the Bohemians could not stop our ambition. We control much of Northern Germany and it is our duty to help the Elbian people and accept them into our Union. Let us proclaim them brothers of the Scandinavians and use them to strenghten our state! §R\nMutually exclusive with "Claim Ireland".;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
claim_ireland_title;Claim Ireland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
claim_ireland_desc;With Ireland now under our total control we must consolidate our administration in the island in order to solidify our rule. §R\nMutually exclusive with "Nordtyskland".;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
baltic_empire_title;Baltic Empire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
baltic_empire_desc;Now that we control Pomerania, Prussia, Livland, Lithuania and Pskov we can affirm our place as the Masters of the Baltic Sea, our very own Viking Mare Nostrum.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
move_capital_to_ankara_title;Move Capital to Ankara;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
move_capital_to_ankara_desc;Ankara is home to the Turkish national movement, and a more defensible location away from European enemies.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
keep_instanbul_capital_title;Maintain Constantinople as the Imperial Capital;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
keep_instanbul_capital_desc;As the heart of the Ottoman Empire for centuries, Constantinople stands as a symbol of imperial grandeur, straddling Europe and Asia. While some modernizers argue for relocating the capital to Ankara—a more defensible and central location—abandoning Constantinople would mean turning our backs on centuries of history, prestige, and economic strength. By reaffirming Constantinople as our capital, we preserve our connection to the legacy of the Sultans, maintain control over the vital Bosporus trade routes, and demonstrate our commitment to defending our core lands against foreign encroachment.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tanzimat_reforms_greek_title;Recognize Greeks as citizens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tanzimat_reforms_greek_desc;With the diverse peoples of the Ottoman Empire living under the Sultan's rule, the Greek population has long been a vital part of our administration, commerce, and intellectual life. By formally recognizing Greek as an accepted culture, we can strengthen loyalty in the region, improve administrative efficiency, and foster greater unity within the empire. This decision will not only appease the Greek populace but also harness their economic and political potential for the benefit of the state.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tanzimat_reforms_albanian_title;Recognize Albanians as citizens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tanzimat_reforms_albanian_desc;The Albanian people have long served as loyal soldiers and administrators within the Ottoman Empire, with many rising to high ranks in the Janissary corps and provincial governance. By formally recognizing Albanian as an accepted culture, we can secure the allegiance of these fierce warriors, strengthen our hold over the western Balkans, and undermine separatist sentiments. This decision will reward their loyalty, encourage further service to the state, and ensure the stability of our European frontiers.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tanzimat_reforms_serb_title;Reconcile with the Serbian People;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tanzimat_reforms_serb_desc;The Serbian population has been a source of both rebellion and reluctant loyalty within our European provinces. By formally recognizing Serbian as an accepted culture, we may pacify nationalist unrest, harness their agricultural and trade networks, and deny foreign powers a tool to undermine Ottoman unity. This gesture—combined with measured reforms—could transform the Serbs from subjects to stakeholders in the Empire’s survival.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tanzimat_reforms_croat_title;Incorporate Illyrian Nobility into the Imperial Framework;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tanzimat_reforms_croat_desc;Though the Illyrians have long been under the sway of the Magyars, their lands remain a strategic buffer between Ottoman Europe and Catholic Christendom. By extending formal recognition to Croatian culture—particularly through alliances with influential Bosnian Croat clans and defectors from the Military Frontier—we may weaken Austrian influence, secure our northwestern border, and gain access to skilled cavalrymen and administrators. Let us offer privileges to those who serve, rather than lose them to foreign crowns.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
double_down_balkans_title;Balkan Prosperity Initiative;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
double_down_balkans_desc;From the vineyards of Thessaly to the workshops of Bosnia, let the Sultan’s peace be measured not in garrisons but in schoolhouses and railroads.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
islamic_reforms_misri_title;Incorporate Egyptian into the Imperial Framework;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
islamic_reforms_misri_desc;Though Egypt remains firmly under the direct control of the Sublime Porte, its people have long been treated as distant subjects rather than core constituents of the Empire. By formally recognizing Egyptian culture as an integral part of the Ottoman realm, we can strengthen administrative efficiency, secure the loyalty of the Nile Valley, and harness Egypt's vast resources for the benefit of the entire state. This decision will integrate Egyptian soldiers, bureaucrats, and merchants into the imperial system while maintaining Istanbul's firm governance over the region.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
islamic_reforms_bedouin_title;Institutionalize the Bedouin Tribal System;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
islamic_reforms_bedouin_desc;From the dunes of Najd to the oases of Libya, the Bedouin tribes have served as both the scourge and the sentinels of Ottoman authority in Arabia. Rather than wasting men and gold to subdue these desert warriors, we shall embrace them as partners of the state—granting their chiefs imperial titles, regulating their camel postal networks, and harnessing their unmatched knowledge of the desert frontiers. In exchange for autonomy under the Sultan's banner, they shall police the Hajj routes and keep the Wahhabis at bay.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
islamic_reforms_armenian_title;Integrate the Armenian Millet as an Imperial Pillar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
islamic_reforms_armenian_desc;For centuries, the Armenian people have served as the Empire’s merchants, bankers, and diplomats—yet their loyalty remains precarious under foreign interference. By formally elevating Armenian culture to accepted status, we reward their historic service, undermine Russian and British subversion, and transform a vulnerable minority into a bulwark of Ottoman modernity. Let the workshops of Constantinople and the farms of Anatolia flourish under this new compact.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
the_caliphate_title;Unify the Turkic and Maghrebi Realms;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
the_caliphate_desc;From the Caspian shores to the Atlas Mountains, our Empire shelters kindred peoples who share the faith and traditions of the Sublime State. By formally embracing the Azerbaijani Turks as linguistic brethren and the Maghrebi Arabs as strategic partners, we may forge a pan-Islamic axis against European encroachment—binding Baku's oil and Algiers' corsairs to Istanbul's glory.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
form_holy_roman_empire_title;The Thousand Years' Reich;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
form_holy_roman_empire_desc;The Holy Roman Empire could have been the greatest power of the continent if it had been united. The previous emperor tried to centralize the various principalities during the Revolution but the Great German War forced him to withdraw its claims. But now we are strong enough to try the adventure once more and this time, maybe establish a Reich that will last a Thousand Years! §R\nNote: mutually exclusive with forming Elbians.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
form_elbians_title;Form the Confederation at the Elbe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
